page,code
21,00
22,00.1
23,00.18
24,00.18
25,00.31
26,00.41
27,00.5
28,00.51
29,00.53
30,00.53
31,00.53
32,00.61
33,00.63
34,00.64
35,00.64
36,00.7
37,00.72
38,00.72
39,00.83
40,00.83
41,01.00
42,01.20
43,01.21
44,01.3
45,01.51
46,02.03
47,02.21
48,02.34
49,03
50,03.1
51,03.52
52,03.8
53,04.01
54,04.1
55,04.73
56,04.73
57,05.39
58,06.0
59,06.11
60,06.51
61,07.11
62,07.4
63,07.63
64,07.83
65,08
66,08.6
67,08.61
68,08.89
69,09.5
70,10.1
71,10.9
72,11.99
73,12.0
74,12.32
75,12.65
76,12.9
77,13.2
78,13.77
79,14.11
80,14.4
81,15.0
82,15.9
83,16.81
84,16.81
85,17
86,17.32
87,17.51
88,17.52
89,17.55
90,17.56
91,17.56
92,17.70
93,17.70
94,17.70
95,18.39
96,18.79
97,19.52
98,20.21
99,20.6
100,20.99
101,20.99
102,21.00
103,21.3
104,21.85
105,22.01
106,22.53
107,23.2
108,24.31
109,25
110,25.51
111,26.3
112,27.31
113,27.6
114,27.79
115,28.3
116,29.2
117,30.0
118,31.0
119,31.49
120,31.79
121,32.01
122,32.29
123,32.6
124,33.24
125,33.42
126,33.5
127,33.78
128,34.04
129,34.3
130,34.5
131,34.84
132,35
133,35.06
134,35.1
135,35.21
136,35.24
137,35.3
138,35.51
139,35.60
140,35.63
141,35.72
142,35.72
143,35.91
144,35.96
145,36.06
146,36.09
147,36.10
148,36.16
149,36.9
150,37.2
151,37.29
152,37.34
153,37.37
154,37.49
155,37.6
156,37.61
157,37.65
158,37.7
159,37.72
160,37.72
161,37.80
162,37.86
163,37.95
164,38
165,38.0
166,38.1
167,38.29
168,38.4
169,38.5
170,38.8
171,38.92
172,39.21
173,39.24
174,39.30
175,39.5
176,39.53
177,39.58
178,39.66
179,39.72
180,39.76
181,39.77
182,39.8
183,39.85
184,39.91
185,39.96
186,39.96
187,40.0
188,40.4
189,41.09
190,41.09
191,41.9
192,42
193,42.31
194,42.5
195,42.65
196,42.92
197,43.42
198,43.9
199,44.15
200,44.44
201,44.67
202,44.97
203,45
204,45.16
205,45.3
206,45.4
207,45.52
208,45.76
209,46
210,46.21
211,46.51
212,46.76
213,46.87
214,48
215,48.0
216,48.33
217,48.5
218,48.7
219,48.82
220,49.03
221,49.45
222,49.91
223,50.2
224,50.4
225,51.10
226,51.19
227,51.4
228,51.7
229,51.88
230,51.99
231,52.14
232,52.52
233,52.92
234,52.99
235,53.10
236,53.6
237,53.8
238,54.0
239,54.2
240,54.4
241,54.5
242,54.73
243,54.99
244,55
245,55.11
246,55.3
247,55.52
248,56.0
249,56.3
250,56.55
251,56.73
252,57
253,57.21
254,57.51
255,57.89
256,57.99
257,58.1
258,58.41
259,58.93
260,59.2
261,59.7
262,59.91
263,60
264,60.19
265,60.61
266,60.93
267,61.11
268,62
269,62.6
270,63.4
271,63.89
272,64.91
273,65.0
274,65.3
275,65.63
276,65.95
277,66.29
278,66.62
279,66.97
280,67.33
281,68.1
282,68.2
283,68.4
284,68.69
285,68.9
286,69.23
287,69.94
288,70.22
289,70.53
290,70.71
291,70.92
292,71
293,71.5
294,72.0
295,72.7
296,73.6
297,74.0
298,75
299,75.36
300,75.8
301,76
302,76.31
303,76.65
304,76.99
305,77.0
306,77.8
307,77.9
308,78.0
309,78.2
310,78.6
311,78.9
312,79.0
313,79.81
314,79.81
315,80.0
316,80.50
317,80.50
318,80.59
319,81.00
320,81.05
321,81.13
322,81.30
323,81.36
324,81.43
325,81.54
326,81.65
327,81.75
328,81.95
329,82.03
330,82.36
331,82.59
332,82.91
333,83.02
334,83.21
335,83.83
336,83.84
337,83.96
338,84.09
339,84.16
340,84.40
341,84.55
342,84.55
343,84.71
344,84.71
345,84.81
346,84.85
347,85
348,85.22
349,85.42
350,85.71
351,85.8
352,86
353,86.06
354,86.1
355,86.23
356,86.4
357,86.65
358,86.72
359,86.90
360,86.90
361,86.98
362,87
363,87.13
364,87.4
365,87.59
366,87.95
367,88.27
368,88.40
369,88.53
370,88.59
371,88.65
372,88.77
373,88.92
374,89.0
375,89.11
376,89.31
377,89.42
378,89.51
379,89.62
380,90.0
381,91
382,91.8
383,92.09
384,92.25
385,92.39
386,93.31
387,93.38
388,93.56
389,93.66
390,93.91
391,93.97
392,94.11
393,94.35
394,94.69
395,95.47
396,95.48
397,96.19
398,96.52
399,96.6
400,96.70
401,96.72
402,97.49
403,97.5
404,97.81
405,98.11
406,98.26
407,99.04
408,99.11
409,99.20
410,99.28
411,99.37
412,99.52
413,99.63
414,99.82
415,99.93
